comment_id,status_id,parent_id,comment_message,comment_author,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
10156004571684781_10156006036529781,122150409780_10156004571684781,10156004571684781_10156005325784781,And lemonade... you guys missed the lemonade as well...,0,2017-11-18 06:34:13,0,0,0,0,0,0,0,0
10156004571684781_10156004572944781,122150409780_10156004571684781,,"hell yeah. I live in SF, but i want to grab me some of that cake ahah.",0,2017-11-17 16:44:30,0,0,0,0,0,0,0,0
10156004571684781_10156004888544781,122150409780_10156004571684781,, [[PHOTO]],0,2017-11-17 18:52:23,0,0,0,0,0,0,0,0
10156004571684781_10156005141589781,122150409780_10156004571684781,,Rudi Zimbal Max Schneider and we just had the lemonade...,0,2017-11-17 20:24:04,1,0,0,0,1,0,0,0
10156004571684781_10156005150819781,122150409780_10156004571684781,10156004571684781_10156005141589781,Sportsmen don’t need cake ⚽️💪🏼,0,2017-11-17 20:29:45,1,0,0,0,1,0,0,0
10156004571684781_10156005411689781,122150409780_10156004571684781,,Megan Gee - did you get cake today?,0,2017-11-17 23:39:14,0,0,0,0,0,0,0,0
10156004571684781_10156005412834781,122150409780_10156004571684781,10156004571684781_10156005411689781,no :( i didnt even know about thhis,0,2017-11-17 23:40:33,0,0,0,0,0,0,0,0
10156004571684781_10156005414549781,122150409780_10156004571684781,10156004571684781_10156005411689781,Dude!!!  For real?  SMH!  Lol!!,0,2017-11-17 23:41:48,1,0,0,0,0,1,0,0
10156004571684781_10156006561744781,122150409780_10156004571684781,,"Tomi, stavash izvesten",0,2017-11-18 10:15:23,1,0,0,0,1,0,0,0
10156004571684781_10156004871614781,122150409780_10156004571684781,,"Tomi H. Tomov, tva ne si li ti be, brat :D",0,2017-11-17 18:40:19,1,0,0,0,1,0,0,0
10156004571684781_10156004874469781,122150409780_10156004571684781,10156004571684781_10156004871614781,Hahah da we 😂 😂,0,2017-11-17 18:42:17,0,0,0,0,0,0,0,0
10156004571684781_10156004874729781,122150409780_10156004571684781,10156004571684781_10156004871614781,bahti lakomoto jivotno,0,2017-11-17 18:42:33,2,1,0,0,1,0,0,0
10156004571684781_10156006090519781,122150409780_10156004571684781,10156004571684781_10156004871614781,"Reji reji, sine, dokato si mlaaad 😁😁 Tomi H. Tomov",0,2017-11-18 07:17:37,1,0,0,0,1,0,0,0
10156004571684781_10156006561704781,122150409780_10156004571684781,, [[STICKER]],0,2017-11-18 10:15:21,0,0,0,0,0,0,0,0
10156004571684781_10156006036114781,122150409780_10156004571684781,,Yummy cakes and lemonade 😋👌,0,2017-11-18 06:33:41,0,0,0,0,0,0,0,0
10156004571684781_10156004719039781,122150409780_10156004571684781,,Andrew Le  🍰,0,2017-11-17 17:35:29,0,0,0,0,0,0,0,0
10156004571684781_10156004776184781,122150409780_10156004571684781,,Bri,0,2017-11-17 17:51:23,1,1,0,0,0,0,0,0
10156004571684781_10156004779634781,122150409780_10156004571684781,10156004571684781_10156004776184781,at work :(,0,2017-11-17 17:52:19,0,0,0,0,0,0,0,0
10156004571684781_10156005425204781,122150409780_10156004571684781,,Dora Trieu,0,2017-11-17 23:51:50,1,1,0,0,0,0,0,0
10156004571684781_10156005780639781,122150409780_10156004571684781,10156004571684781_10156005425204781,LMAO I’m famous,0,2017-11-18 03:09:37,0,0,0,0,0,0,0,0
10156004571684781_10156004835209781,122150409780_10156004571684781,,Jeff Weng this couldve been us but ur bacteria babies ruined it,0,2017-11-17 18:16:51,1,1,0,0,0,0,0,0
10156004571684781_10156005482849781,122150409780_10156004571684781,,"Ryan Patrick, did you go?",0,2017-11-18 00:28:55,0,0,0,0,0,0,0,0
10156004571684781_10156005415169781,122150409780_10156004571684781,,Haiyang Kehoe,0,2017-11-17 23:42:31,0,0,0,0,0,0,0,0
10156004571684781_10156005415789781,122150409780_10156004571684781,10156004571684781_10156005415169781,"I don't go there anymore, otherwise I'd get the cake!",0,2017-11-17 23:43:32,0,0,0,0,0,0,0,0
10156004571684781_10156005420434781,122150409780_10156004571684781,10156004571684781_10156005415169781,I want some!,0,2017-11-17 23:47:38,0,0,0,0,0,0,0,0
10156004571684781_10156010079534781,122150409780_10156004571684781,,...https://www.youtube.com/watch?v=seEn877G1dM&t=25s,0,2017-11-19 15:49:39,0,0,0,0,0,0,0,0
